AÑo,Evento,Fecha,Lugar
2022,Zonal Metropolitano juegos departamentales,11 al 16 de octubre,Escenarios deportivos municipio de Envigado
2022,Festival de ajedrez y tenis de mesa zona 8 PPP,22 de octubre,Coliseo Polidepotrtivo Sur Envigado
2022,Copa Fusión de Gimnasia,22 y 23 de octubre,Coliseo Polidepotrtivo Sur Envigado
2022,Departamental de pesas Índer Envigado,23 y 23 de octubre,Coliseo Polidepotrtivo Sur Envigado
2022,Copa Metropolitana IUE,29 y 30 de octubre,Coliseo Polidepotrtivo Sur Envigado
2022,Juegos de la salud,3 al 7 de noviembre,Escenarios deportivos Municipio de Envigado
2022,Parada clasificatorio Festival de festivales de voleibol,12 y 13 de noviembre,Coliseo Polidepotrtivo Sur Envigado
2022,Festival CIFD,19 de noviembre,Coliseo Polidepotrtivo Sur Envigado
2022,Torneo de Softbol Índer Envigado,marzo a diciembre,Coliseo Polidepotrtivo Sur Envigado
2022,Torneo de Fútbol Índer Envigado,Abril a diciembre,Coliseo Polidepotrtivo Sur Envigado
2022,Torneo de baloncesto El Dorado,Abril a diciembre,Coliseo Polidepotrtivo Sur Envigado
